ciao, ciao
AIELLO Pietro,AP-CPE-NCD-NCI
AIROLA Alberto,M5S
ALBANO Donatella,PD
ALBERTI CASELLATI Maria Elisabetta,FI-PdL
ALBERTINI Gabriele,AP-CPE-NCD-NCI
ALICATA Bruno,FI-PdL
AMATI Silvana,PD
AMIDEI Bartolomeo,Misto
AMORUSO Francesco Maria,ALA-PRI
ANGIONI Ignazio,PD
ANITORI Fabiola,AP-CPE-NCD-NCI
ARACRI Francesco,"FL(Id-PL, PLI)"
ARRIGONI Paolo,Lega
ASTORRE Bruno,PD
AUGELLO Andrea,"FL(Id-PL, PLI)"
AURICCHIO Domenico,nessuno
AZZOLLINI Antonio,nessuno
BARANI Lucio,ALA-PRI
BAROZZINO Giovanni,Misto
BATTISTA Lorenzo,Art.1-MDP-LeU
BELLOT Raffaela,NcI
BENCINI Alessandra,Misto
BERGER Johann Karl,Aut(SVP-UV-PATT-UPT)-PSI
BERNINI Anna Maria,FI-PdL
BERTACCO Stefano,Misto
BERTOROTTA Ornella,M5S
BERTUZZI Maria Teresa,PD
BIANCO Amedeo,PD
BIANCONI Laura,AP-CPE-NCD-NCI
BIGNAMI Laura,Misto
BILARDI Giovanni Emanuele,"FL(Id-PL, PLI)"
BISINELLA Patrizia,NcI
BLUNDO Rosetta Enza,M5S
BOCCA Bernabò,FI-PdL
BOCCARDI Michele,FI-PdL
BOCCHINO Fabrizio,Misto
BONAIUTI Paolo,AP-CPE-NCD-NCI
BONDI Sandro,nessuno
BONFRISCO Anna Cinzia,"FL(Id-PL, PLI)"
BORIOLI Daniele Gaetano,PD
BOTTICI Laura,M5S
BROGLIA Claudio,PD
BRUNI Francesco,NcI
BUBBICO Filippo,Art.1-MDP-LeU
BUCCARELLA Maurizio,M5S
BUEMI Enrico,nessuno
BULGARELLI Elisa,M5S
CALDEROLI Roberto,Misto
CALEO Massimo,PD
CALIENDO Giacomo,FI-PdL
CAMPANELLA Francesco,Art.1-MDP-LeU
CANDIANI Stefano,Lega
CANTINI Laura,PD
CAPACCHIONE Rosaria,PD
CAPPELLETTI Enrico,M5S
CARDIELLO Franco,FI-PdL
CARDINALI Valeria,PD
CARIDI Antonio Stefano,GAL-UDCeDC
CARRARO Franco,FI-PdL
CASALETTO Monica,GAL-UDCeDC
CASINI Pier Ferdinando,AP-CPE-NCD-NCI
CASSANO Massimo,nessuno
CASSINELLI Roberto,FI-PdL
CASSON Felice,Art.1-MDP-LeU
CASTALDI Gianluca,M5S
CATALFO Nunzia,M5S
CATTANEO Elena,Aut(SVP-UV-PATT-UPT)-PSI
CENTINAIO Gian Marco,nessuno
CERONI Remigio,FI-PdL
CERVELLINI Massimo,Misto
CHIAVAROLI Federica,AP-CPE-NCD-NCI
CHITI Vannino,PD
CIAMPOLILLO Alfonso,M5S
CIOFFI Andrea,M5S
CIRINNA' Monica,PD
COCIANCICH Roberto,PD
COLLINA Stefano,PD
COLUCCI Francesco,AP-CPE-NCD-NCI
COMAROLI Silvana,Lega
COMPAGNA Luigi,"FL(Id-PL, PLI)"
CONSIGLIO Nunziante,Lega
CONTE Franco,AP-CPE-NCD-NCI
CONTI Riccardo,GAL-UDCeDC
CORSINI Paolo,Art.1-MDP-LeU
COTTI Roberto,M5S
CRIMI Vito Claudio,M5S
CROSIO Jonny,Lega
CUCCA Giuseppe Luigi,PD
D'ADDA Erica,PD
D'ALI' Antonio,nessuno
D'AMBROSIO LETTIERI Luigi,NcI
D'ANNA Vincenzo,ALA-PRI
D'APUZZO Mario,ALA-PRI
D'ASCOLA Vincenzo Mario Domenico,AP-CPE-NCD-NCI
D'ONGHIA Angela,GAL-UDCeDC
DALLA TOR Mario,AP-CPE-NCD-NCI
DALLA ZUANNA Gianpiero,PD
DAVICO Michelino,"FL(Id-PL, PLI)"
DE BIASI Emilia Grazia,PD
DE CRISTOFARO Peppe,Misto
DE PETRIS Loredana,Misto
DE PIETRO Cristina,FI-PdL
DE PIN Paola,GAL-UDCeDC
DE POLI Antonio,GAL-UDCeDC
DE SIANO Domenico,FI-PdL
DEL BARBA Mauro,PD
DELLA VEDOVA Benedetto,Misto
DI BIAGIO Aldo,AP-CPE-NCD-NCI
DI GIACOMO Ulisse,"FL(Id-PL, PLI)"
DI GIORGI Rosa Maria,PD
DI MAGGIO Salvatore Tito,NcI
DIRINDIN Nerina,Art.1-MDP-LeU
DIVINA Sergio,Lega
DONNO Daniela,M5S
ENDRIZZI Giovanni,M5S
ESPOSITO Giuseppe,GAL-UDCeDC
ESPOSITO Lucia,PD
ESPOSITO Stefano,PD
FABBRI Camilla,PD
FALANGA Ciro,ALA-PRI
FASANO Vincenzo,FI-PdL
FASIOLO Laura,PD
FATTORI Elena,M5S
FATTORINI Emma,PD
FAVERO Nicoletta,PD
FAZZONE Claudio,FI-PdL
FEDELI Valeria,PD
FERRARA Elena,PD
FERRARA Mario Francesco,GAL-UDCeDC
FILIPPI Marco,PD
FILIPPIN Rosanna,PD
FINOCCHIARO Anna,PD
FISSORE Elena,PD
FLORIS Emilio,FI-PdL
FORMIGONI Roberto,AP-CPE-NCD-NCI
FORNARO Federico,Art.1-MDP-LeU
FRAVEZZI Vittorio,Aut(SVP-UV-PATT-UPT)-PSI
FUCKSIA Serenella,"FL(Id-PL, PLI)"
GAETTI Luigi,M5S
GALIMBERTI Paolo,FI-PdL
GAMBARO Adele,ALA-PRI
GASPARRI Maurizio,FI-PdL
GATTI Maria Grazia,Art.1-MDP-LeU
GENTILE Antonio,AP-CPE-NCD-NCI
GHEDINI Niccolo',FI-PdL
GIACOBBE Francesco,PD
GIANNINI Stefania,PD
GIARRUSSO Mario Michele,M5S
GIBIINO Vincenzo,FI-PdL
GINETTI Nadia,PD
GIOVANARDI Carlo,"FL(Id-PL, PLI)"
GIRO Francesco Maria,FI-PdL
GIROTTO Gianni,M5S
GOTOR Miguel,Art.1-MDP-LeU
GRANAIOLA Manuela,Art.1-MDP-LeU
GRASSO Pietro,Misto
GUALDANI Marcello,AP-CPE-NCD-NCI
GUERRA Maria Cecilia,Art.1-MDP-LeU
GUERRIERI PALEOTTI Paolo,PD
ICHINO Pietro,PD
IDEM Josefa,PD
IURLARO Pietro,ALA-PRI
LAI Bachisio Silvio,PD
LANGELLA Pietro,ALA-PRI
LANIECE Albert,Aut(SVP-UV-PATT-UPT)-PSI
LANZILLOTTA Linda,PD
LATORRE Nicola,PD
LEPRI Stefano,PD
LEZZI Barbara,M5S
LIUZZI Pietro,NcI
LO GIUDICE Sergio,PD
LO MORO Doris,Art.1-MDP-LeU
